epoch,avg_loss,accuracy
1,1.9624768379407052,0.3187
5,1.543298809344952,0.4516
10,1.349027350010016,0.5227
15,1.238688698793069,0.5713
20,1.1567845271183894,0.5767
25,1.0919640174278846,0.6199
30,1.035792971880008,0.6274
35,0.9833703456780849,0.6393
40,0.9378616724258814,0.6613
45,0.9050742907401843,0.6707
50,0.8844060653295273,0.6739
55,1.0660216502654247,0.6083
60,1.0163549178685898,0.6394
65,0.9842138045873398,0.637
70,0.9548601981921073,0.6574
75,0.920758056640625,0.6595
80,0.8877525133964342,0.6719
85,0.8519606370192307,0.6975
90,0.8258163060897435,0.6991
95,0.7991268842648237,0.7089
100,0.7800706129807692,0.7086
105,0.9834363105969551,0.6487
110,0.951528069911859,0.6675
115,0.9247132130158253,0.6598
120,0.902479983598758,0.6766
125,0.8754303761017628,0.6773
130,0.8407505133213141,0.6975
135,0.8128651936848958,0.7036
140,0.7799474471654647,0.7125
145,0.751033215645032,0.7255
150,0.743306869115585,0.7259
155,0.9517685327774439,0.6504
160,0.9334371713491586,0.6727
165,0.9036423120743189,0.666
170,0.8770778558193109,0.6619
