epoch,avg_loss,accuracy
1,2.536291973407452,0.214
5,1.7080577361278044,0.4038
10,1.332411389473157,0.5242
15,1.0745299510466746,0.6078
20,0.9003707494491185,0.683
25,0.795483633188101,0.7111
30,0.7061266776842948,0.742
35,0.6291904938526642,0.7647
40,0.5565825633513621,0.7673
45,0.5062007414988983,0.7887
50,0.4705144246419271,0.7955
55,0.7215741279797676,0.7204
60,0.6659760303986378,0.7517
65,0.6100028404822716,0.7565
70,0.5781343508989383,0.7807
75,0.5353589962690305,0.7823
80,0.4823041475736178,0.8056
85,0.437498278495593,0.8211
90,0.386305901943109,0.8167
95,0.3580727210411659,0.834
100,0.33545841314853764,0.8464
105,0.6138418735601963,0.7683
110,0.574693376590044,0.7761
115,0.5402979924128606,0.7778
120,0.5071032010591947,0.7953
125,0.46839427458934296,0.7889
130,0.4284020448342348,0.814
135,0.37866050524589345,0.8341
140,0.34212024395282453,0.8389
145,0.31835203904371995,0.8424
150,0.28903104341947117,0.8437
