epoch,avg_loss,accuracy
1,2.3318479880308494,0.1418
5,1.804559795673077,0.3427
10,1.6466660719651443,0.4013
15,1.5147658128004808,0.4455
20,1.435929205478766,0.4985
25,1.3736079289362981,0.5104
30,1.30923336713742,0.5187
35,1.2638045873397437,0.5484
40,1.2077912159455129,0.5591
45,1.1549562111879006,0.5833
50,1.138917737129407,0.5824
55,1.364432153946314,0.5103
60,1.3171676244491186,0.5311
65,1.2786007612179486,0.5393
70,1.2368648431239984,0.5334
75,1.1952852689302884,0.564
80,1.1504536946614583,0.5819
85,1.106072215544872,0.5932
90,1.058128396058694,0.6107
95,1.0221962170723158,0.6181
100,1.007079843374399,0.6275
105,1.2566320174779648,0.5409
110,1.2361726418519632,0.57
115,1.2017159486428286,0.564
120,1.169668500851362,0.5883
125,1.1186866955879406,0.5934
130,1.0847949688251202,0.5995
135,1.0363980024288861,0.6214
140,1.0005936060196314,0.6446
145,0.9585316975911459,0.6488
150,0.943280498798077,0.6509
155,1.2324516100761218,0.5543
160,1.1810936560997596,0.5833
165,1.1547723232171474,0.564
170,1.1267954508463542,0.6024
175,1.094477257361779,0.5917
180,1.0514950483273238,0.6184
185,1.0000799717047275,0.6352
190,0.9535351875500802,0.6513
195,0.9330002222305689,0.6647
200,0.9035775209084536,0.6687
205,1.192458010942508,0.5679
210,1.1587882799979967,0.5947
215,1.1302362686548477,0.5935
220,1.0925555106921074,0.6136
225,1.0506655962039262,0.5916
