epoch,avg_loss,accuracy
1,3.4377496892755683,0.2077
5,2.498176871956169,0.2959
10,2.237790987089083,0.3245
15,2.0473559491046065,0.3065
20,1.9411894562956575,0.3386
25,1.8124764182350852,0.3714
30,1.6776864188058036,0.4094
35,1.5458391858385754,0.4132
40,1.4519988221007507,0.4238
45,1.3863640326958198,0.4339
50,1.3475494384765625,0.4384
55,1.9091679957005885,0.3066
60,1.8082521116578734,0.3455
65,1.7395164192496957,0.3608
70,1.6369554593965605,0.3658
75,1.4894183270342938,0.3919
80,1.4054598127092635,0.4047
85,1.3081672965706168,0.4226
90,1.2034491006430093,0.4265
95,1.1491089858017958,0.4332
100,1.1284807874010754,0.4408
105,1.7266090690315543,0.2833
110,1.6303037172788148,0.3478
115,1.5589497553837763,0.3509
120,1.4511247114701704,0.3748
125,1.3514004001369724,0.3859
130,1.2777344344498276,0.4056
135,1.1688283945058848,0.4066
140,1.1056672133408583,0.4379
145,1.0313414536513292,0.4389
150,1.008042372666396,0.4326
155,1.6000084815087257,0.324
