epoch,avg_loss,accuracy
1,3.384883782802484,0.219
5,2.30377686329377,0.3156
10,1.931058639135116,0.3597
15,1.7067485711513422,0.3911
20,1.4872051141200922,0.4006
25,1.331297360933744,0.4289
30,1.1252378806089745,0.4324
35,0.9682857806865985,0.4598
40,0.813083257430639,0.4823
45,0.7427982917198768,0.4858
50,0.704564950405023,0.4992
55,1.4118458674504206,0.3784
60,1.2526092529296875,0.4056
65,1.1118667798164563,0.411
70,1.0084934723682892,0.4175
75,0.8876704680613983,0.4456
80,0.7533314533722706,0.4528
85,0.6875298817952474,0.4687
90,0.5601591452574118,0.481
95,0.5711547166873248,0.4965
100,0.5231022467980018,0.4904
105,1.1562905922914162,0.4
110,1.0171588995517828,0.4037
115,0.9406872284718049,0.4293
120,0.8406544220753205,0.4274
125,0.7245393899770883,0.4582
130,0.6243694011981671,0.4644
135,0.6003847366724259,0.4659
140,0.5034379225510818,0.4917
145,0.48779693016639125,0.4954
150,0.4574839274088542,0.4925
155,0.980546119885567,0.4081
