epoch,avg_loss,accuracy
1,4.103998753931616,0.01
5,3.413727995637175,0.051
10,3.2205535096007507,0.0502
15,3.1096207259537336,0.0718
20,2.9914104907543626,0.1156
25,2.9403845056310876,0.0897
30,2.833206573089996,0.1664
35,2.7602420162844967,0.2019
40,2.6757871949827514,0.2348
45,2.6058692436713677,0.2696
50,2.56985988864651,0.2764
55,2.992613953429383,0.1082
60,2.935232385412439,0.1238
65,2.892427518770292,0.133
70,2.8214913900796468,0.1711
75,2.7486893294693586,0.1945
80,2.6691775631594967,0.2504
85,2.5786642099355723,0.2738
90,2.5161085252637987,0.2833
95,2.4240619609882303,0.2956
100,2.430860643262987,0.2959
105,2.8916071111505683,0.1319
110,2.83901343407569,0.1448
115,2.7467381861302758,0.1172
120,2.7192293637758724,0.2069
125,2.6392511144861,0.2216
130,2.5496550721007507,0.249
135,2.4756770939021915,0.2566
140,2.3855154854910716,0.2928
145,2.3374980579723013,0.2952
150,2.305420714539367,0.3091
155,2.825428950322139,0.1315
160,2.74935397854099,0.1831
165,2.6917324313869724,0.186
170,2.6458738252714085,0.2087
175,2.585387390929383,0.2135
180,2.478110375342431,0.2433
185,2.38544275853541,0.2639
190,2.3356816675755883,0.2898
195,2.2797407670454546,0.3084
200,2.2486334466314934,0.3099
205,2.7325441434785915,0.1377
210,2.717298037045962,0.1654
215,2.6113588407442165,0.1877
220,2.575417258522727,0.2355
225,2.493464085962865,0.2513
230,2.4230887673117896,0.2253
235,2.334877113243202,0.2714
