epoch,avg_loss,accuracy
1,3.9027944711538463,0.1183
5,3.2006861368815103,0.1897
10,2.988884754669972,0.2255
15,2.85891606257512,0.2205
20,2.773322276580028,0.2375
25,2.668251233223157,0.2446
30,2.5632355518830128,0.265
35,2.457568828876202,0.2871
40,2.3505972837790465,0.3035
45,2.2662750635391626,0.3096
50,2.236303476186899,0.3186
55,2.77166748046875,0.2365
60,2.7255313579852762,0.2244
65,2.6197408040364585,0.2451
70,2.5204502986027646,0.2433
75,2.4586353791065707,0.2802
80,2.3475506122295675,0.2747
85,2.2535729041466346,0.2966
90,2.1498888455904446,0.3102
95,2.091813503167568,0.3107
100,2.0397237141927085,0.317
105,2.604846856532953,0.2301
110,2.5904349302634215,0.2583
115,2.5021988306290064,0.2653
120,2.4381700173402443,0.2618
125,2.3335002018855167,0.2767
130,2.2454685308994393,0.2981
135,2.1367410513070912,0.299
140,2.032123272235577,0.3158
145,1.973373804336939,0.3148
150,1.9171917255108173,0.3203
155,2.4977002266125803,0.2526
160,2.467237032376803,0.2392
165,2.4113794962565103,0.2634
170,2.3788321079351964,0.2624
175,2.27896724603115,0.2825
180,2.1783302502754407,0.2832
185,2.0447342701447315,0.2936
190,1.9444411840194311,0.313
195,1.9141241220327525,0.3162
200,1.845053257086338,0.3215
205,2.4712618314302883,0.237
210,2.437255859375,0.2645
215,2.385462834284856,0.248
220,2.2783336150340543,0.2695
225,2.1621242425380607,0.2806
230,2.0937576293945312,0.2956
235,1.9825249696389222,0.3026
240,1.9046732584635417,0.3092
245,1.8630997095352564,0.3176
250,1.8238337590144231,0.3197
255,2.414085192558093,0.2506
