epoch,avg_loss,accuracy
1,2.007461729503813,0.1126
5,1.0494173140752883,0.1525
10,0.8626158578055245,0.1645
15,0.763306663149879,0.1561
20,0.6929838543846494,0.1659
25,0.5885403042747861,0.1794
30,0.5232949483962286,0.177
35,0.4495167959304083,0.1823
40,0.3885954902285621,0.1892
45,0.36062011264619376,0.1872
50,0.3486666225251697,0.19
55,0.7157549631027949,0.175
60,0.6114848454793295,0.1713
65,0.5588504246303013,0.1717
70,0.4915002187093099,0.1707
75,0.44543475196475074,0.1856
80,0.39237671806698754,0.1827
85,0.3511494000752767,0.1892
90,0.34052789778936476,0.1878
95,0.2920230910891578,0.1906
100,0.2810541107541039,0.1941
