epoch,avg_loss,accuracy
1,3.0358440692608175,0.0111
5,2.173606138962966,0.0333
10,2.029332527747521,0.0541
15,1.9455176133375902,0.0473
20,1.86883911719689,0.07
25,1.7979324047382061,0.0965
30,1.7218663142277644,0.1008
35,1.6382719186636119,0.0941
40,1.580184056208684,0.1125
45,1.5145191779503455,0.1344
50,1.513581789456881,0.1309
55,1.8473924490121694,0.0522
60,1.802139428945688,0.0688
65,1.7453878842867339,0.0818
70,1.6842390207143931,0.079
75,1.636986805842473,0.0816
80,1.5776439079871545,0.1236
85,1.4996904226449819,0.1187
90,1.4419174194335938,0.14
95,1.3842242314265325,0.1483
100,1.369200926560622,0.1531
105,1.7170716799222505,0.08
110,1.722159899198092,0.0582
115,1.64751463669997,0.1091
120,1.5993772653432994,0.0987
125,1.5522063328669622,0.0889
130,1.488954103910006,0.1211
135,1.414057364830604,0.1376
140,1.3728760939378004,0.1452
145,1.307092813345102,0.1559
150,1.2905065096341646,0.1593
155,1.7099761962890625,0.1065
160,1.6595655588003306,0.1189
165,1.6068436549260066,0.0781
170,1.5486146486722505,0.1173
175,1.4932861328125,0.1323
180,1.4435037466195912,0.1359
185,1.3806951962984526,0.1464
190,1.3190265068641076,0.1459
195,1.2802666884202223,0.157
200,1.2430707491361177,0.1572
205,1.6457003079927885,0.0489
210,1.586840116060697,0.0587
215,1.574526126568134,0.0979
