epoch,avg_loss,accuracy
1,2.7987803333210497,0.0237
5,1.6101795412459463,0.0781
10,1.4541630295087706,0.0812
15,1.3642946639150944,0.0832
20,1.3026385037404187,0.0858
25,1.2049366932994914,0.0928
30,1.1695717145811837,0.0951
35,1.1207429418024026,0.098
40,1.0576718168438606,0.1014
45,1.0153932391472582,0.1
50,1.0210694367030881,0.1009
55,1.2920346529978626,0.0745
60,1.2532419168724205,0.0874
65,1.239064486521595,0.0946
70,1.1663680166568395,0.0947
75,1.122383693479142,0.0993
80,1.0756498372779701,0.0977
85,0.987253800877985,0.0995
90,0.9582613819050338,0.1055
95,0.9115329958357901,0.1062
100,0.8882122399672022,0.1045
105,1.217544267762382,0.0882
110,1.1900692345961086,0.0894
115,1.1465625403062352,0.091
120,1.1054033243431236,0.0974
125,1.061075174583579,0.0961
130,0.978373905397811,0.1027
135,0.953481062403265,0.1045
140,0.9080284406554024,0.1032
145,0.8827256256679319,0.1078
150,0.8373261217801076,0.1094
155,1.1609201971090064,0.0876
160,1.1218827445552033,0.0904
165,1.1320796462724794,0.0923
170,1.0437284505592201,0.0995
175,1.0176775230551667,0.1014
180,0.9419914821408829,0.1007
185,0.9268623927854142,0.1062
190,0.8728106516712116,0.1086
195,0.8404616589816112,0.1109
200,0.8149540739239387,0.1082
205,1.1393159830345299,0.0899
210,1.1069510837770857,0.0955
215,1.0791555440650795,0.0921
