epoch,avg_loss,accuracy
1,3.15150146484375,0.2383
5,2.5687542255108173,0.324
10,2.441930682842548,0.3517
15,2.3743231357672276,0.3479
20,2.3097897260616986,0.3661
25,2.243464543269231,0.3746
30,2.191231282552083,0.4119
35,2.111590732672276,0.4244
40,2.0599831605568912,0.4401
45,2.0098822177984776,0.4531
50,1.977799792167468,0.45
55,2.3334234775641027,0.3451
60,2.2841206868489583,0.346
65,2.2537207970252404,0.3574
70,2.2060365334535255,0.3624
75,2.1616056002103363,0.4008
80,2.112217516776843,0.4039
85,2.0570972931690705,0.4307
90,2.000612073066907,0.4441
95,1.950555889423077,0.4519
100,1.9300726474859775,0.4673
105,2.2970939440604967,0.3406
110,2.261369128104968,0.348
115,2.2138075608473557,0.3598
120,2.177258144280849,0.4018
125,2.131989464393029,0.3942
130,2.0740603715945514,0.4071
135,2.029833671374199,0.4284
140,1.969127165965545,0.4551
145,1.932534398788061,0.4564
150,1.906924829727564,0.4714
155,2.2721119416065707,0.322
160,2.2308294834234776,0.2957
165,2.2029919746594553,0.3557
170,2.169100560897436,0.3631
175,2.1221380771734775,0.3875
180,2.059287516276042,0.4158
185,2.0045813927283653,0.4426
190,1.9577234512720352,0.4491
195,1.9226330879407052,0.4566
200,1.9002713716947115,0.4702
205,2.2601294884314904,0.3781
210,2.2183822240584936,0.3628
215,2.1886915940504807,0.3734
