epoch,avg_loss,accuracy
1,2.8066875751201925,0.3263
5,2.0033605331029647,0.4232
10,1.7808487329727565,0.4656
15,1.64206057817508,0.5026
20,1.5130386743790065,0.5195
25,1.4066066644130608,0.5322
30,1.275087640224359,0.5619
35,1.1503883557441907,0.589
40,1.0330072647485977,0.6002
45,0.9375345865885417,0.6131
50,0.877168704301883,0.6209
55,1.535037622696314,0.4931
60,1.4543200370592948,0.4879
65,1.372270007011218,0.5256
70,1.2999493721203925,0.5457
75,1.1789946727263623,0.5626
80,1.0861637213291266,0.5902
85,0.968025637895633,0.5989
90,0.8707319993239183,0.6153
95,0.7832792624449119,0.6205
100,0.7410916059445112,0.6257
