epoch,avg_loss,accuracy
1,3.6611853966346155,0.0612
5,3.1332125150240384,0.0737
10,3.0069295247395833,0.1558
15,2.899166478866186,0.1998
20,2.8226136818910255,0.2685
25,2.742646046173878,0.2476
30,2.6637322841546474,0.2738
35,2.587260554387019,0.2815
40,2.517766394981971,0.2968
45,2.4548321063701923,0.3456
50,2.4197002704326924,0.3518
55,2.818623547676282,0.1773
60,2.7730650290464745,0.2022
65,2.7118912134415063,0.24
70,2.6590635642027243,0.2641
75,2.602376928084936,0.2574
80,2.5431969275841344,0.2958
85,2.453697947966747,0.3366
90,2.388003931290064,0.3426
95,2.3276871118790066,0.355
100,2.3041048490084135,0.379
105,2.7382621569511216,0.1661
110,2.692231946113782,0.1922
115,2.6413614908854166,0.2073
120,2.5965377416366184,0.261
125,2.542602069561298,0.2789
130,2.4559066381209935,0.2907
135,2.3891639122596153,0.3473
140,2.3209690191806893,0.3688
145,2.2708575908954325,0.3806
150,2.2258607522035256,0.3943
155,2.6877150315504807,0.176
160,2.6452708708934294,0.2582
165,2.5926017565604966,0.2497
170,2.5510621682191505,0.259
175,2.4890438764523237,0.2304
180,2.425215657552083,0.3283
185,2.3451414450620995,0.3282
190,2.280108642578125,0.362
195,2.220596861227965,0.3796
200,2.1999104817708335,0.3938
