epoch,avg_loss,accuracy
1,3.5224593724959936,0.183
5,2.9870658678886217,0.2282
10,2.852204151642628,0.2472
15,2.761219200721154,0.2811
20,2.690483836638622,0.2906
25,2.6194296812399838,0.306
30,2.5312141614082533,0.3277
35,2.4442903958834137,0.3485
40,2.3699810321514425,0.3594
45,2.3019825470753204,0.3711
50,2.2631039350460735,0.3878
55,2.7439578325320513,0.2699
60,2.6829718174078527,0.3073
65,2.6307501377203524,0.3016
70,2.5697271885016026,0.3217
75,2.507114038711939,0.3353
80,2.4430966108273235,0.3307
85,2.361241423778045,0.3514
90,2.2943907126402245,0.3872
95,2.2330776116786857,0.3975
100,2.1899971203926283,0.3861
105,2.6777659880809295,0.2966
110,2.6259850135216345,0.2918
115,2.5923302283653844,0.296
