epoch,avg_loss,accuracy
0,4.656298515124199,0.0109
10,4.376201923076923,0.0679
20,4.215609819461138,0.0977
30,4.105250823192107,0.1291
40,4.017425928360376,0.1567
50,3.9407379932892628,0.1841
60,3.8869175055088143,0.1792
70,3.8384759364983974,0.2138
80,3.7980933556189904,0.222
90,3.766221657777444,0.2442
100,3.725434132111378,0.2698
110,3.690777118389423,0.2498
120,3.6499356000851364,0.2663
130,3.6271217541816907,0.277
140,3.586773994641426,0.2964
150,3.5591798440004005,0.3005
160,3.5262912848056893,0.3203
