epoch,avg_loss,accuracy
1,4.1047560471754805,0.099
10,2.1353988256209937,0.413
20,1.6538675944010417,0.4934
30,1.4529127854567307,0.525
40,1.320595922225561,0.5425
50,1.2249134552784455,0.556
60,1.1281842354016427,0.5618
70,1.0614564553285257,0.5704
80,0.9777513552934696,0.5806
90,0.8951898036858974,0.5972
100,0.8155763283754006,0.6016
110,0.7517636030148237,0.608
120,0.6745394193209134,0.6199
130,0.6138397999298878,0.6293
140,0.5602385300856371,0.6361
150,0.5326490353315304,0.6342
151,0.5223653940054086,0.6347
152,0.5219299707657251,0.636
153,0.5185826619466146,0.643
154,0.5175218239808694,0.6335
155,0.5192278739733573,0.6325
156,0.5162459153395432,0.638
157,0.5077546731019631,0.6313
158,0.5058074559920873,0.6376
159,0.5034696530073117,0.6421
160,0.505880854679988,0.636
